date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-17,48107,12017,426,0.89,22433,21510,21386,21016,43.69,0.89,0.0089,43.69,0.43689999999999996,4.0
2025-11-18,39057,12035,362,0.93,18380,17546,16967,17113,43.82,0.93,0.009300000000000001,43.82,0.4382,3.25
2025-11-19,37745,12669,344,0.91,17615,16954,16715,16304,43.2,0.91,0.0091,43.2,0.43200000000000005,2.98
2025-11-20,37209,13112,322,0.87,16754,16111,15955,15657,42.08,0.87,0.0087,42.08,0.4208,2.84
2025-11-21,33883,12910,319,0.94,16929,16433,16060,15870,46.84,0.94,0.009399999999999999,46.84,0.46840000000000004,2.62
2025-11-22,38686,13526,411,1.06,16804,16646,16063,15813,40.88,1.06,0.0106,40.88,0.40880000000000005,2.86
2025-11-23,37256,13687,415,1.11,16359,15925,15950,15450,41.47,1.11,0.0111,41.47,0.4147,2.72
2025-11-24,37556,12938,440,1.17,16684,16262,16010,15699,41.8,1.17,0.011699999999999999,41.8,0.418,2.9
2025-11-25,37024,12769,436,1.18,17496,16665,16416,16073,43.41,1.18,0.0118,43.41,0.4341,2.9
2025-11-26,37153,12389,464,1.25,17696,16953,16650,16293,43.85,1.25,0.0125,43.85,0.4385,3.0
2025-11-27,37101,12676,478,1.29,17661,16971,16680,16390,44.18,1.29,0.0129,44.18,0.44179999999999997,2.93
2025-11-28,37254,13271,342,0.92,17482,16604,16352,16089,43.19,0.92,0.0092,43.19,0.43189999999999995,2.81
2025-11-29,37436,13021,441,1.18,17795,17105,16864,16572,44.27,1.18,0.0118,44.27,0.44270000000000004,2.88
2025-11-30,30382,10799,367,1.21,14316,13763,13516,13264,43.66,1.21,0.0121,43.66,0.4366,2.81
,525849,175042,5567,1.06,244404,235448,231584,227603,43.28,1.06,0.0106,43.28,0.4328,3.0
