date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,78009,32200,400,0.51,10582,9133,8176,7418,9.51,0.51,0.0051,9.51,0.0951,2.42
2025-12-02,77905,37631,397,0.51,9799,8342,7382,6648,8.53,0.51,0.0051,8.53,0.08529999999999999,2.07
2025-12-03,78008,34793,412,0.53,10089,8592,7637,6874,8.81,0.53,0.0053,8.81,0.08810000000000001,2.24
2025-12-04,32562,10989,338,1.04,10389,8761,7785,7036,21.61,1.04,0.0104,21.61,0.2161,2.96
2025-12-05,78038,13156,348,0.45,33797,28507,25316,22821,29.24,0.45,0.0045000000000000005,29.24,0.2924,5.93
2025-12-06,78130,12103,345,0.44,34244,29391,26240,23820,30.49,0.44,0.0044,30.49,0.3049,6.46
2025-12-07,78048,13277,354,0.45,33794,28559,25354,22822,29.24,0.45,0.0045000000000000005,29.24,0.2924,5.88
2025-12-08,66863,11970,331,0.5,28930,24587,21878,19886,29.74,0.5,0.005,29.74,0.2974,5.59
2025-12-09,79031,14279,345,0.44,34329,29099,25808,23312,29.5,0.44,0.0044,29.5,0.295,5.53
2025-12-10,75841,13775,320,0.42,32611,27451,24345,21900,28.88,0.42,0.0042,28.88,0.2888,5.51
2025-12-11,79183,14914,1153,1.46,37746,35093,33395,32014,40.43,1.46,0.0146,40.43,0.4043,5.31
2025-12-12,13157,3387,32,0.24,5437,4389,3805,3267,24.83,0.24,0.0024,24.83,0.2483,3.88
2025-12-13,79049,18643,89,0.11,33186,27836,24475,21895,27.7,0.11,0.0011,27.7,0.27699999999999997,4.24
,893824,223034,4864,0.54,314933,269740,241596,219713,24.58,0.54,0.0054,24.58,0.2458,4.01
