date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,16582,7250,173,1.04,7863,7531,7393,7260,43.78,1.04,0.0104,43.78,0.4378,2.29
2025-12-02,17022,6519,193,1.13,8071,7725,7571,7435,43.68,1.13,0.0113,43.68,0.4368,2.61
2025-12-03,16705,7460,166,0.99,7877,7577,7432,7284,43.6,0.99,0.009899999999999999,43.6,0.436,2.24
2025-12-04,16561,7743,156,0.94,7914,7649,7515,7370,44.5,0.94,0.009399999999999999,44.5,0.445,2.14
2025-12-05,16577,7181,139,0.84,7601,7232,7058,6810,41.08,0.84,0.0084,41.08,0.4108,2.31
2025-12-06,16534,4570,78,0.47,7316,6823,6521,5353,32.38,0.47,0.004699999999999999,32.38,0.32380000000000003,3.62
2025-12-07,16509,4868,88,0.53,7319,6873,6576,5756,34.87,0.53,0.0053,34.87,0.34869999999999995,3.39
2025-12-08,16181,4391,118,0.73,5718,5430,5224,4690,28.98,0.73,0.0073,28.98,0.2898,3.69
2025-12-09,8015,3231,185,2.31,1460,1423,1391,1311,16.36,2.31,0.0231,16.36,0.1636,2.48
2025-12-10,18005,5001,218,1.21,1201,1163,1102,1042,5.79,1.21,0.0121,5.79,0.0579,3.6
2025-12-11,18005,4738,254,1.41,1188,1173,1137,1086,6.03,1.41,0.0141,6.03,0.0603,3.8
2025-12-12,17004,4376,237,1.39,1793,1759,1693,1615,9.5,1.39,0.0139,9.5,0.095,3.89
2025-12-13,16501,4560,249,1.51,1384,1342,1303,1232,7.47,1.51,0.0151,7.47,0.0747,3.62
,210201,69691,2254,1.07,66705,63700,61916,58244,27.71,1.07,0.010700000000000001,27.71,0.2771,3.02
