date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,42157,18495,462,1.1,20376,19336,18760,18144,43.04,1.1,0.011000000000000001,43.04,0.4304,2.28
2025-11-02,42028,17880,517,1.23,20367,19377,18951,18552,44.14,1.23,0.0123,44.14,0.4414,2.35
2025-11-03,42510,15228,486,1.14,20641,19679,19306,18923,44.51,1.14,0.011399999999999999,44.51,0.4451,2.79
2025-11-04,42388,15123,471,1.11,20539,19418,19038,18659,44.02,1.11,0.0111,44.02,0.44020000000000004,2.8
2025-11-05,42318,12596,492,1.16,20379,19720,19306,18871,44.59,1.16,0.0116,44.59,0.4459,3.36
2025-11-06,42971,11607,502,1.17,20760,19731,19345,18937,44.07,1.17,0.011699999999999999,44.07,0.4407,3.7
2025-11-07,42583,13910,446,1.05,20423,19438,19321,19571,45.96,1.05,0.0105,45.96,0.4596,3.06
2025-11-08,42170,18533,438,1.04,20352,19238,18799,18765,44.5,1.04,0.0104,44.5,0.445,2.28
2025-11-09,42261,17761,348,0.82,20436,19492,19169,18855,44.62,0.82,0.008199999999999999,44.62,0.4462,2.38
2025-11-10,42111,17724,372,0.88,20375,19931,19616,19189,45.57,0.88,0.0088,45.57,0.4557,2.38
2025-11-11,42740,19503,336,0.79,21029,20152,19805,19136,44.77,0.79,0.0079,44.77,0.44770000000000004,2.19
2025-11-12,42803,20849,360,0.84,20913,20681,20161,20098,46.95,0.84,0.0084,46.95,0.46950000000000003,2.05
2025-11-13,48502,17496,482,0.99,25107,22621,21930,21544,44.42,0.99,0.009899999999999999,44.42,0.44420000000000004,2.77
2025-11-14,41262,10801,677,1.64,21280,20659,20257,19847,48.1,1.64,0.016399999999999998,48.1,0.48100000000000004,3.82
2025-11-15,40874,5322,661,1.62,20948,20351,19993,19557,47.85,1.62,0.016200000000000003,47.85,0.47850000000000004,7.68
2025-11-16,41419,4300,651,1.57,21409,20915,20528,20152,48.65,1.57,0.015700000000000002,48.65,0.4865,9.63
,681097,233943,7701,1.13,335334,320739,314285,308800,45.34,1.13,0.0113,45.34,0.4534,2.91
