date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-10,23303,16036,371,1.59,0,0,0,0,0.0,1.59,0.0159,0.0,0.0,1.45
2025-11-11,36866,26575,539,1.46,0,0,0,0,0.0,1.46,0.0146,0.0,0.0,1.39
2025-11-12,36527,21585,538,1.47,0,0,0,0,0.0,1.47,0.0147,0.0,0.0,1.69
2025-11-13,35800,19677,578,1.61,1,1,1,1,0.0,1.61,0.0161,0.0,0.0,1.82
2025-11-14,35596,16739,543,1.53,0,0,0,0,0.0,1.53,0.015300000000000001,0.0,0.0,2.13
2025-11-15,35564,16461,538,1.51,0,0,0,0,0.0,1.51,0.0151,0.0,0.0,2.16
2025-11-16,35550,18946,540,1.52,0,0,0,0,0.0,1.52,0.0152,0.0,0.0,1.88
2025-11-17,36096,19039,531,1.47,0,0,0,0,0.0,1.47,0.0147,0.0,0.0,1.9
2025-11-18,30581,15280,499,1.63,0,0,0,0,0.0,1.63,0.0163,0.0,0.0,2.0
2025-11-19,35049,17279,481,1.37,0,0,0,0,0.0,1.37,0.0137,0.0,0.0,2.03
2025-11-20,33805,17171,482,1.43,0,0,0,0,0.0,1.43,0.0143,0.0,0.0,1.97
2025-11-21,33379,14321,503,1.51,0,0,0,0,0.0,1.51,0.0151,0.0,0.0,2.33
2025-11-22,33141,14658,505,1.52,0,0,0,0,0.0,1.52,0.0152,0.0,0.0,2.26
2025-11-23,33165,16991,553,1.67,0,0,0,0,0.0,1.67,0.0167,0.0,0.0,1.95
2025-11-24,33464,17506,558,1.67,0,0,0,0,0.0,1.67,0.0167,0.0,0.0,1.91
2025-11-25,34646,17594,552,1.59,0,0,0,0,0.0,1.59,0.0159,0.0,0.0,1.97
2025-11-26,69338,26415,694,1.0,0,0,0,0,0.0,1.0,0.01,0.0,0.0,2.62
2025-11-27,347831,115069,4974,1.43,258073,241347,234384,230611,66.3,1.43,0.0143,66.3,0.6629999999999999,3.02
2025-11-28,238308,57635,6440,2.7,148521,144566,142604,140805,59.09,2.7,0.027000000000000003,59.09,0.5909,4.13
2025-11-29,72572,25406,4043,5.57,4,6,6,6,0.01,5.57,0.0557,0.01,0.0001,2.86
2025-11-30,486129,34033,9001,1.85,374475,366305,361899,357773,73.6,1.85,0.018500000000000003,73.6,0.736,14.28
,1756710,492403,33463,1.9,781074,752225,738894,729196,41.51,1.9,0.019,41.51,0.41509999999999997,3.57
