date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,90029,25256,1044,1.16,43234,41121,39482,38368,42.62,1.16,0.0116,42.62,0.42619999999999997,3.56
2025-11-02,90018,26739,1079,1.2,42904,39904,38506,37454,41.61,1.2,0.012,41.61,0.41609999999999997,3.37
2025-11-03,90115,27103,1354,1.5,43809,41711,40785,39791,44.16,1.5,0.015,44.16,0.4416,3.32
2025-11-04,90077,25316,1344,1.49,43905,42036,40966,40072,44.49,1.49,0.0149,44.49,0.4449,3.56
2025-11-05,90136,23238,1193,1.32,43247,41150,39711,38700,42.94,1.32,0.0132,42.94,0.4294,3.88
2025-11-06,90031,24177,1363,1.51,43800,41816,40759,39790,44.2,1.51,0.0151,44.2,0.442,3.72
2025-11-07,90072,23463,1258,1.4,43948,42238,41194,40280,44.72,1.4,0.013999999999999999,44.72,0.4472,3.84
2025-11-08,90197,25778,1159,1.28,43967,41391,40528,39488,43.78,1.28,0.0128,43.78,0.4378,3.5
2025-11-09,90126,23775,793,0.88,43946,40945,40243,39684,44.03,0.88,0.0088,44.03,0.4403,3.79
2025-11-10,90168,23204,738,0.82,43508,38750,37471,36535,40.52,0.82,0.008199999999999999,40.52,0.4052,3.89
2025-11-11,90895,22625,787,0.87,44362,41172,40014,38995,42.9,0.87,0.0087,42.9,0.429,4.02
2025-11-12,90421,7504,525,0.58,44093,35521,34252,33657,37.22,0.58,0.0058,37.22,0.3722,12.05
2025-11-13,82081,26182,473,0.58,39882,36742,36075,35784,43.6,0.58,0.0058,43.6,0.436,3.14
2025-11-14,82349,25990,389,0.47,39946,36682,35994,35631,43.27,0.47,0.004699999999999999,43.27,0.43270000000000003,3.17
2025-11-15,81605,27323,384,0.47,39368,36262,35752,35327,43.29,0.47,0.004699999999999999,43.29,0.4329,2.99
2025-11-16,82328,27650,348,0.42,39998,36889,36034,35273,42.84,0.42,0.0042,42.84,0.42840000000000006,2.98
2025-11-17,182527,24515,551,0.3,84715,69153,66916,65565,35.92,0.3,0.003,35.92,0.3592,7.45
,1593175,404113,14782,0.93,768632,703483,684682,670394,42.08,0.93,0.009300000000000001,42.08,0.4208,3.94
