date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,18780,3000,144,0.77,0,0,0,0,0,0.77,0.0077,0.0,0.0,6.26
2025-12-02,18525,2759,145,0.78,0,0,0,0,0,0.78,0.0078000000000000005,0.0,0.0,6.71
2025-12-03,18754,2750,145,0.77,0,0,0,0,0,0.77,0.0077,0.0,0.0,6.82
2025-12-04,18473,2633,115,0.62,0,0,0,0,0,0.62,0.0062,0.0,0.0,7.02
2025-12-05,18532,2784,110,0.59,0,0,0,0,0,0.59,0.0059,0.0,0.0,6.66
2025-12-06,18376,2406,119,0.65,0,0,0,0,0,0.65,0.006500000000000001,0.0,0.0,7.64
2025-12-07,18388,2381,112,0.61,0,0,0,0,0,0.61,0.0060999999999999995,0.0,0.0,7.72
2025-12-08,13133,1997,113,0.86,0,0,0,0,0,0.86,0.0086,0.0,0.0,6.58
2025-12-09,17198,2232,112,0.65,0,0,0,0,0,0.65,0.006500000000000001,0.0,0.0,7.71
2025-12-10,17810,2361,113,0.63,0,0,0,0,0,0.63,0.0063,0.0,0.0,7.54
2025-12-11,20096,2762,116,0.58,0,0,0,0,0,0.58,0.0058,0.0,0.0,7.28
2025-12-12,16417,2788,119,0.72,0,0,0,0,0,0.72,0.0072,0.0,0.0,5.89
2025-12-13,13455,2684,115,0.85,0,0,0,0,0,0.85,0.0085,0.0,0.0,5.01
,227937,26255,1578,0.69,0,0,0,0,0,0.69,0.0069,0.0,0.0,8.68
