date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,87989,12956,1523,1.73,65152,62945,61345,59845,68.01,1.73,0.0173,68.01,0.6801,6.79
2025-11-02,90541,9876,1223,1.35,44420,42848,41541,40364,44.58,1.35,0.013500000000000002,44.58,0.4458,9.17
2025-11-03,91403,6565,1428,1.56,45562,44632,43781,42942,46.98,1.56,0.015600000000000001,46.98,0.4698,13.92
2025-11-04,92475,6681,1540,1.67,45962,45052,44118,43254,46.77,1.67,0.0167,46.77,0.4677,13.84
2025-11-05,90276,10919,1127,1.25,43706,41816,40361,39127,43.34,1.25,0.0125,43.34,0.4334,8.27
2025-11-06,91307,7182,1380,1.51,45361,44272,43313,42395,46.43,1.51,0.0151,46.43,0.4643,12.71
2025-11-07,90954,7580,1374,1.51,45026,43982,43039,42053,46.24,1.51,0.0151,46.24,0.46240000000000003,12.0
2025-11-08,90869,7319,1413,1.55,45196,42202,41265,40481,44.55,1.55,0.0155,44.55,0.44549999999999995,12.42
2025-11-09,90484,6591,1041,1.15,44975,40594,39580,38843,42.93,1.15,0.0115,42.93,0.4293,13.73
2025-11-10,90258,9168,524,0.58,43569,34856,33460,32501,36.01,0.58,0.0058,36.01,0.3601,9.84
2025-11-11,90433,8691,1103,1.22,44638,41434,40260,39307,43.47,1.22,0.012199999999999999,43.47,0.4347,10.41
2025-11-12,84411,8413,543,0.64,41596,33632,32378,31819,37.7,0.64,0.0064,37.7,0.377,10.03
2025-11-13,81401,26133,415,0.51,39686,36765,35844,35525,43.64,0.51,0.0051,43.64,0.4364,3.11
2025-11-14,81545,25897,352,0.43,39452,36222,35623,35181,43.14,0.43,0.0043,43.14,0.4314,3.15
2025-11-15,80940,27146,374,0.46,39113,36101,35551,35043,43.3,0.46,0.0046,43.3,0.433,2.98
2025-11-16,81590,28068,340,0.42,39674,36665,35688,35355,43.33,0.42,0.0042,43.33,0.43329999999999996,2.91
2025-11-17,171845,20578,594,0.35,80059,65667,63657,62599,36.43,0.35,0.0034999999999999996,36.43,0.3643,8.35
,1578721,226010,16294,1.03,793147,729685,710804,696634,44.13,1.03,0.0103,44.13,0.4413,6.99
