date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,17664,8680,481,2.72,7447,6467,5867,5330,30.17,2.72,0.027200000000000002,30.17,0.3017,2.04
2025-11-02,9894,5165,434,4.39,4265,3847,3574,3415,34.52,4.39,0.043899999999999995,34.52,0.3452,1.92
2025-11-03,38590,7836,435,1.13,10339,9243,8501,7964,20.64,1.13,0.0113,20.64,0.2064,4.92
2025-11-04,29695,11216,425,1.43,9429,8214,7464,6921,23.31,1.43,0.0143,23.31,0.23309999999999997,2.65
2025-11-05,26095,8854,425,1.63,8276,7277,6591,6101,23.38,1.63,0.0163,23.38,0.23379999999999998,2.95
2025-11-06,24558,8598,444,1.81,7768,6961,6413,5983,24.36,1.81,0.0181,24.36,0.24359999999999998,2.86
2025-11-07,38809,14993,438,1.13,12301,11027,10239,9637,24.83,1.13,0.0113,24.83,0.2483,2.59
2025-11-08,40866,13472,407,1.0,12963,12286,11834,11519,28.19,1.0,0.01,28.19,0.28190000000000004,3.03
2025-11-09,40975,13420,429,1.05,13056,12358,11948,11579,28.26,1.05,0.0105,28.26,0.2826,3.05
2025-11-10,29665,9151,452,1.52,9289,8760,8431,8190,27.61,1.52,0.0152,27.61,0.2761,3.24
2025-11-11,17790,2745,454,2.55,5347,5236,5175,5082,28.57,2.55,0.0255,28.57,0.2857,6.48
2025-11-12,18283,4805,457,2.5,5646,5160,4886,4647,25.42,2.5,0.025,25.42,0.25420000000000004,3.8
2025-11-13,43782,2887,441,1.01,14045,13891,13792,13671,31.23,1.01,0.0101,31.23,0.3123,15.17
2025-11-14,35101,4864,448,1.28,11130,10959,10845,10734,30.58,1.28,0.0128,30.58,0.30579999999999996,7.22
2025-11-15,35373,2961,448,1.27,11279,11145,11045,10962,30.99,1.27,0.0127,30.99,0.3099,11.95
2025-11-16,32639,2909,433,1.33,10494,10251,10090,9906,30.35,1.33,0.013300000000000001,30.35,0.3035,11.22
2025-11-17,36036,4994,1948,5.41,10585,10410,10291,10206,28.32,5.41,0.0541,28.32,0.2832,7.22
,515815,125576,8999,1.74,163659,153492,146986,141847,27.5,1.74,0.0174,27.5,0.275,4.11
