date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,5752,1775,134,2.33,0,0,0,0,0,2.33,0.0233,0.0,0.0,3.24
2025-11-02,18676,2103,139,0.74,0,0,0,0,0,0.74,0.0074,0.0,0.0,8.88
2025-11-03,18870,2377,141,0.75,0,0,0,0,0,0.75,0.0075,0.0,0.0,7.94
2025-11-04,18905,2438,138,0.73,0,0,0,0,0,0.73,0.0073,0.0,0.0,7.75
2025-11-05,15290,3448,144,0.94,0,0,0,0,0,0.94,0.009399999999999999,0.0,0.0,4.43
2025-11-06,19479,2826,139,0.71,0,0,0,0,0,0.71,0.0070999999999999995,0.0,0.0,6.89
2025-11-07,19505,2578,135,0.69,0,0,0,0,0,0.69,0.0069,0.0,0.0,7.57
2025-11-08,19668,2757,138,0.7,0,0,0,0,0,0.7,0.006999999999999999,0.0,0.0,7.13
2025-11-09,19351,2604,136,0.7,0,0,0,0,0,0.7,0.006999999999999999,0.0,0.0,7.43
2025-11-10,19646,2799,142,0.72,0,0,0,0,0,0.72,0.0072,0.0,0.0,7.02
2025-11-11,19703,2838,138,0.7,0,0,0,0,0,0.7,0.006999999999999999,0.0,0.0,6.94
2025-11-12,18372,2477,141,0.77,0,0,0,0,0,0.77,0.0077,0.0,0.0,7.42
2025-11-13,18810,2625,135,0.72,0,0,0,0,0,0.72,0.0072,0.0,0.0,7.17
2025-11-14,18872,2665,136,0.72,0,0,0,0,0,0.72,0.0072,0.0,0.0,7.08
2025-11-15,18196,2077,137,0.75,0,0,0,0,0,0.75,0.0075,0.0,0.0,8.76
2025-11-16,18659,2726,137,0.73,0,0,0,0,0,0.73,0.0073,0.0,0.0,6.84
,287754,30917,2210,0.77,0,0,0,0,0,0.77,0.0077,0.0,0.0,9.31
