date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,17504,4502,447,2.55,7506,6698,6148,5724,32.7,2.55,0.0255,32.7,0.327,3.89
2025-11-02,10962,5900,447,4.08,4628,4131,3842,3589,32.74,4.08,0.0408,32.74,0.3274,1.86
2025-11-03,40554,11609,450,1.11,10620,9183,8241,7468,18.41,1.11,0.0111,18.41,0.1841,3.49
2025-11-04,23028,9217,443,1.92,7259,6458,5924,5523,23.98,1.92,0.0192,23.98,0.2398,2.5
2025-11-05,22398,8937,447,2.0,7058,6251,5767,5413,24.17,2.0,0.02,24.17,0.24170000000000003,2.51
2025-11-06,18520,7019,464,2.51,5802,5219,4840,4584,24.75,2.51,0.025099999999999997,24.75,0.2475,2.64
2025-11-07,26397,11399,466,1.77,8280,7385,6820,6341,24.02,1.77,0.0177,24.02,0.2402,2.32
2025-11-08,40140,15499,441,1.1,12648,11751,11135,10757,26.8,1.1,0.011000000000000001,26.8,0.268,2.59
2025-11-09,40145,15380,427,1.06,12736,11799,11203,10782,26.86,1.06,0.0106,26.86,0.2686,2.61
2025-11-10,28103,11391,454,1.62,8682,7988,7471,7111,25.3,1.62,0.016200000000000003,25.3,0.253,2.47
2025-11-11,16246,3594,501,3.08,4872,4649,4525,4428,27.26,3.08,0.0308,27.26,0.2726,4.52
2025-11-12,35404,6390,451,1.27,11256,11000,10838,10656,30.1,1.27,0.0127,30.1,0.301,5.54
2025-11-13,33708,6914,448,1.33,10734,10458,10265,10118,30.02,1.33,0.013300000000000001,30.02,0.3002,4.88
2025-11-14,29799,7245,453,1.52,9385,9164,9011,8872,29.77,1.52,0.0152,29.77,0.2977,4.11
2025-11-15,28594,6876,453,1.58,9096,8895,8746,8606,30.1,1.58,0.0158,30.1,0.301,4.16
2025-11-16,30781,7230,469,1.52,9869,9652,9481,9359,30.41,1.52,0.0152,30.41,0.3041,4.26
,442283,136034,7261,1.64,140431,130681,124257,119331,26.98,1.64,0.016399999999999998,26.98,0.2698,3.25
