date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-10-17,30763,13160,116,0.38,29298,28838,28335,27904,90.71,0.38,0.0038,90.71,0.9070999999999999,2.34
2025-10-18,173092,59878,1013,0.59,165593,160744,156849,152763,88.26,0.59,0.0059,88.26,0.8826,2.89
2025-10-19,174937,54003,1213,0.69,166209,161031,156920,152756,87.32,0.69,0.0069,87.32,0.8732,3.24
2025-10-20,218323,54265,1050,0.48,209118,202753,198556,194188,88.95,0.48,0.0048,88.95,0.8895000000000001,4.02
2025-10-21,192722,47570,891,0.46,184733,179360,175450,171195,88.83,0.46,0.0046,88.83,0.8883,4.05
2025-10-22,147655,49870,1485,1.01,139318,134325,130181,126166,85.45,1.01,0.0101,85.45,0.8545,2.96
2025-10-23,180028,55898,845,0.47,172134,167028,162929,158901,88.26,0.47,0.004699999999999999,88.26,0.8826,3.22
2025-10-24,93878,39286,666,0.71,89589,86523,84192,81906,87.25,0.71,0.0070999999999999995,87.25,0.8725,2.39
,1211398,370466,7279,0.6,1155992,1120602,1093412,1065779,87.98,0.6,0.006,87.98,0.8798,3.27
