date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-25,154737,9142,1415,0.91,64421,49995,49042,48266,31.19,0.91,0.0091,31.19,0.3119,16.93
2025-11-26,173701,8574,1384,0.8,67639,49669,48705,48049,27.66,0.8,0.008,27.66,0.2766,20.26
2025-11-27,172128,54144,1289,0.75,67274,55809,52162,49372,28.68,0.75,0.0075,28.68,0.2868,3.18
2025-11-28,172153,38914,1087,0.63,66302,47342,43957,41432,24.07,0.63,0.0063,24.07,0.2407,4.42
2025-11-29,148923,53840,1124,0.75,62319,58918,57184,55798,37.47,0.75,0.0075,37.47,0.3747,2.77
2025-11-30,194776,76421,1248,0.64,82074,76501,73213,70684,36.29,0.64,0.0064,36.29,0.3629,2.55
,1016418,235858,7547,0.74,410029,338234,324263,313601,30.85,0.74,0.0074,30.85,0.3085,4.31
