date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,74119,52244,1352,1.82,39690,36089,33174,30437,41.07,1.82,0.0182,41.07,0.4107,1.42
2025-11-02,73422,49897,1161,1.58,39935,36401,33382,30618,41.7,1.58,0.0158,41.7,0.41700000000000004,1.47
2025-11-03,72850,50368,1139,1.56,39408,35795,32711,29950,41.11,1.56,0.015600000000000001,41.11,0.4111,1.45
2025-11-04,73575,50614,1138,1.55,39700,36260,33082,30226,41.08,1.55,0.0155,41.08,0.4108,1.45
2025-11-05,110023,63511,1758,1.6,57660,52769,48462,44495,40.44,1.6,0.016,40.44,0.4044,1.73
2025-11-06,117020,71712,1772,1.51,61901,56769,52110,47933,40.96,1.51,0.0151,40.96,0.4096,1.63
2025-11-07,117014,76032,1757,1.5,66103,60347,55216,50386,43.06,1.5,0.015,43.06,0.43060000000000004,1.54
2025-11-08,117021,74616,1770,1.51,64950,59301,54252,49515,42.31,1.51,0.0151,42.31,0.42310000000000003,1.57
2025-11-09,117030,75615,1794,1.53,66770,60860,55524,50566,43.21,1.53,0.015300000000000001,43.21,0.4321,1.55
2025-11-10,117008,74216,1767,1.51,64810,59122,53921,49278,42.12,1.51,0.0151,42.12,0.42119999999999996,1.58
2025-11-11,117061,73606,1738,1.48,64009,58483,53470,48814,41.7,1.48,0.0148,41.7,0.41700000000000004,1.59
2025-11-12,115016,70463,1745,1.52,62398,57035,52109,47563,41.35,1.52,0.0152,41.35,0.41350000000000003,1.63
2025-11-13,115019,73054,1776,1.54,64235,58609,53667,49026,42.62,1.54,0.0154,42.62,0.42619999999999997,1.57
2025-11-14,115085,71931,1770,1.54,61118,55692,50951,46456,40.37,1.54,0.0154,40.37,0.40369999999999995,1.6
2025-11-15,115015,52520,1458,1.27,34921,31937,29237,26761,23.27,1.27,0.0127,23.27,0.2327,2.19
2025-11-16,115012,51104,1326,1.15,34874,31864,29073,26560,23.09,1.15,0.0115,23.09,0.2309,2.25
2025-11-17,115153,53314,1266,1.1,34849,31895,29313,26851,23.32,1.1,0.011000000000000001,23.32,0.2332,2.16
2025-11-18,118254,55241,1239,1.05,35850,32894,30237,27771,23.48,1.05,0.0105,23.48,0.2348,2.14
2025-11-19,115058,56345,1304,1.13,34732,31898,29365,26986,23.45,1.13,0.0113,23.45,0.2345,2.04
2025-11-20,114637,67637,1812,1.58,27839,25397,23272,21114,18.42,1.58,0.0158,18.42,0.18420000000000003,1.69
2025-11-21,115023,72118,1790,1.56,23331,21225,19363,17628,15.33,1.56,0.015600000000000001,15.33,0.1533,1.59
2025-11-22,115016,65299,1777,1.55,20241,18495,16827,15265,13.27,1.55,0.0155,13.27,0.13269999999999998,1.76
2025-11-23,115102,65949,1779,1.55,21312,19384,17710,16004,13.9,1.55,0.0155,13.9,0.139,1.75
2025-11-24,115025,66922,1808,1.57,28150,25532,23352,21234,18.46,1.57,0.015700000000000002,18.46,0.18460000000000001,1.72
2025-11-25,115071,71030,1795,1.56,29908,27350,25045,22862,19.87,1.56,0.015600000000000001,19.87,0.19870000000000002,1.62
2025-11-26,113087,68304,1817,1.61,29466,26851,24553,22363,19.78,1.61,0.0161,19.78,0.1978,1.66
2025-11-27,114831,70586,1840,1.6,30675,27894,25403,23114,20.13,1.6,0.016,20.13,0.20129999999999998,1.63
2025-11-28,112666,69852,1832,1.63,31288,28448,26037,23713,21.05,1.63,0.0163,21.05,0.21050000000000002,1.61
2025-11-29,97951,65004,1833,1.87,29091,26439,24094,21931,22.39,1.87,0.0187,22.39,0.22390000000000002,1.51
2025-11-30,107649,59128,1852,1.72,33450,30453,27838,25453,23.64,1.72,0.0172,23.64,0.2364,1.82
,3265813,1757968,48965,1.5,1272664,1161488,1062750,970873,29.73,1.5,0.015,29.73,0.2973,1.86
