date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,60269,17861,566,0.94,11077,10445,9826,9399,15.6,0.94,0.009399999999999999,15.6,0.156,3.37
2025-11-02,60027,10486,494,0.82,11911,11503,11227,10906,18.17,0.82,0.008199999999999999,18.17,0.18170000000000003,5.72
2025-11-03,60024,10250,505,0.84,11685,11350,11074,10769,17.94,0.84,0.0084,17.94,0.1794,5.86
2025-11-04,60019,10992,506,0.84,10971,10680,10405,10103,16.83,0.84,0.0084,16.83,0.16829999999999998,5.46
2025-11-05,60026,9329,452,0.75,13847,13434,13060,12744,21.23,0.75,0.0075,21.23,0.21230000000000002,6.43
2025-11-06,60035,10456,487,0.81,12166,11758,11502,11174,18.61,0.81,0.008100000000000001,18.61,0.1861,5.74
2025-11-07,60028,9822,471,0.78,13158,12751,12441,12056,20.08,0.78,0.0078000000000000005,20.08,0.20079999999999998,6.11
2025-11-08,60019,9549,482,0.8,12188,11953,11647,11390,18.98,0.8,0.008,18.98,0.1898,6.29
2025-11-09,60049,10700,519,0.86,10804,10485,10288,10001,16.65,0.86,0.0086,16.65,0.16649999999999998,5.61
2025-11-10,54455,8274,522,0.96,12952,12517,12199,11827,21.72,0.96,0.0096,21.72,0.21719999999999998,6.58
2025-11-11,41081,3039,492,1.2,14109,13747,13479,13133,31.97,1.2,0.012,31.97,0.3197,13.52
2025-11-12,59448,3896,613,1.03,20236,19721,19276,18771,31.58,1.03,0.0103,31.58,0.31579999999999997,15.26
2025-11-13,59045,4028,561,0.95,19976,19455,19004,18514,31.36,0.95,0.0095,31.36,0.3136,14.66
2025-11-14,59049,4170,640,1.08,20062,19525,19113,18715,31.69,1.08,0.0108,31.69,0.3169,14.16
2025-11-15,59031,3662,545,0.92,20046,19636,19237,18820,31.88,0.92,0.0092,31.88,0.3188,16.12
2025-11-16,59019,3616,579,0.98,19939,19521,19063,18625,31.56,0.98,0.0098,31.56,0.3156,16.32
2025-11-17,59030,3929,416,0.7,19909,19443,18991,18537,31.4,0.7,0.006999999999999999,31.4,0.314,15.02
2025-11-18,59696,4207,432,0.72,20298,19762,19315,18891,31.65,0.72,0.0072,31.65,0.3165,14.19
2025-11-19,59041,3974,444,0.75,20044,19531,19139,18677,31.63,0.75,0.0075,31.63,0.31629999999999997,14.86
2025-11-20,59045,4128,444,0.75,19390,19280,18718,18333,31.05,0.75,0.0075,31.05,0.3105,14.3
2025-11-21,59034,5313,552,0.94,26111,25725,25153,24645,41.75,0.94,0.009399999999999999,41.75,0.4175,11.11
2025-11-22,59037,4392,466,0.79,19291,19242,18764,18280,30.96,0.79,0.0079,30.96,0.3096,13.44
2025-11-23,59016,4481,473,0.8,19297,19260,18653,18197,30.83,0.8,0.008,30.83,0.30829999999999996,13.17
2025-11-24,59048,5042,464,0.79,19596,19187,18667,18221,30.86,0.79,0.0079,30.86,0.3086,11.71
2025-11-25,59029,3648,558,0.95,20005,19549,19224,18747,31.76,0.95,0.0095,31.76,0.3176,16.18
2025-11-26,59033,3939,613,1.04,20110,19617,19205,18783,31.82,1.04,0.0104,31.82,0.3182,14.99
2025-11-27,59043,3623,477,0.81,20323,19832,19401,18992,32.17,0.81,0.008100000000000001,32.17,0.32170000000000004,16.3
2025-11-28,59463,6749,255,0.43,20760,19482,18588,17870,30.05,0.43,0.0043,30.05,0.3005,8.81
2025-11-29,59038,5676,414,0.7,20164,19357,18855,18342,31.07,0.7,0.006999999999999999,31.07,0.3107,10.4
2025-11-30,49848,4437,379,0.76,17116,16442,16033,15636,31.37,0.76,0.0076,31.37,0.31370000000000003,11.23
,1750025,188829,14821,0.85,517541,504190,491547,479098,27.38,0.85,0.0085,27.38,0.2738,9.27
