date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,282801,111714,2776,0.98,0,0,0,0,0,0.98,0.0098,0.0,0.0,2.53
2025-11-02,31512,9307,530,1.68,0,0,0,0,0,1.68,0.0168,0.0,0.0,3.39
2025-11-03,306903,125260,2803,0.91,0,0,0,0,0,0.91,0.0091,0.0,0.0,2.45
2025-11-04,302814,118860,3271,1.08,0,0,0,0,0,1.08,0.0108,0.0,0.0,2.55
2025-11-05,311946,125819,2814,0.9,0,0,0,0,0,0.9,0.009000000000000001,0.0,0.0,2.48
2025-11-06,310299,122000,2839,0.91,3,3,3,3,0,0.91,0.0091,0.0,0.0,2.54
2025-11-07,328001,132636,2882,0.88,0,0,0,0,0,0.88,0.0088,0.0,0.0,2.47
2025-11-08,335878,145587,2598,0.77,0,0,0,0,0,0.77,0.0077,0.0,0.0,2.31
2025-11-09,336748,145229,2700,0.8,0,0,0,0,0,0.8,0.008,0.0,0.0,2.32
2025-11-10,341338,146856,2524,0.74,0,0,0,0,0,0.74,0.0074,0.0,0.0,2.32
2025-11-11,307725,179551,2353,0.76,0,0,0,0,0,0.76,0.0076,0.0,0.0,1.71
2025-11-12,296483,120780,2417,0.82,0,0,0,0,0,0.82,0.008199999999999999,0.0,0.0,2.45
2025-11-13,340887,137309,3127,0.92,0,0,0,0,0,0.92,0.0092,0.0,0.0,2.48
,3833335,1543298,33634,0.88,3,3,3,3,0,0.88,0.0088,0.0,0.0,2.48
