date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,56032,32384,974,1.74,0,0,0,0,0,1.74,0.0174,0.0,0.0,1.73
2025-11-02,56026,34135,824,1.47,0,0,0,0,0,1.47,0.0147,0.0,0.0,1.64
2025-11-03,56005,34466,766,1.37,0,0,0,0,0,1.37,0.0137,0.0,0.0,1.62
2025-11-04,56075,34668,888,1.58,0,0,0,0,0,1.58,0.0158,0.0,0.0,1.62
2025-11-05,56081,35129,864,1.54,0,0,0,0,0,1.54,0.0154,0.0,0.0,1.6
2025-11-06,56041,34354,835,1.49,0,0,0,0,0,1.49,0.0149,0.0,0.0,1.63
2025-11-07,56117,35019,802,1.43,0,0,0,0,0,1.43,0.0143,0.0,0.0,1.6
2025-11-08,57051,35118,795,1.39,0,0,0,0,0,1.39,0.0139,0.0,0.0,1.62
2025-11-09,57368,27939,493,0.86,0,0,0,0,0,0.86,0.0086,0.0,0.0,2.05
2025-11-10,49100,17254,785,1.6,0,0,0,0,0,1.6,0.016,0.0,0.0,2.85
,555896,300862,8026,1.44,0,0,0,0,0,1.44,0.0144,0.0,0.0,1.85
