date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-10-03,59634,11497,422,0.71,0,0,0,0,0.0,0.71,0.0070999999999999995,0.0,0.0,5.19
2025-10-04,51580,16281,422,0.82,0,0,0,0,0.0,0.82,0.008199999999999999,0.0,0.0,3.17
2025-10-05,5383,4888,424,7.88,0,0,0,0,0.0,7.88,0.0788,0.0,0.0,1.1
2025-10-06,5810,5183,420,7.23,15,13,12,12,0.21,7.23,0.0723,0.21,0.0021,1.12
2025-10-07,65872,19127,501,0.76,9,8,6,6,0.01,0.76,0.0076,0.01,0.0001,3.44
2025-10-08,67284,24132,500,0.74,26,24,22,22,0.03,0.74,0.0074,0.03,0.0003,2.79
2025-10-09,66867,23757,500,0.75,11,10,9,9,0.01,0.75,0.0075,0.01,0.0001,2.81
2025-10-10,66844,22802,500,0.75,5,5,4,4,0.01,0.75,0.0075,0.01,0.0001,2.93
2025-10-11,66077,20670,502,0.76,0,0,0,0,0.0,0.76,0.0076,0.0,0.0,3.2
2025-10-12,66126,22297,500,0.76,3,3,3,3,0.0,0.76,0.0076,0.0,0.0,2.97
2025-10-13,66692,25623,500,0.75,8,8,8,8,0.01,0.75,0.0075,0.01,0.0001,2.6
2025-10-14,66550,25381,500,0.75,5,5,4,3,0.0,0.75,0.0075,0.0,0.0,2.62
2025-10-15,66464,25097,501,0.75,12,11,9,9,0.01,0.75,0.0075,0.01,0.0001,2.65
2025-10-16,65336,24409,500,0.77,17,17,15,13,0.02,0.77,0.0077,0.02,0.0002,2.68
2025-10-17,64600,22385,500,0.77,31,26,26,24,0.04,0.77,0.0077,0.04,0.0004,2.89
2025-10-18,66055,18723,500,0.76,15,13,12,12,0.02,0.76,0.0076,0.02,0.0002,3.53
2025-10-19,64716,20318,501,0.77,21,20,16,15,0.02,0.77,0.0077,0.02,0.0002,3.19
2025-10-20,65926,23930,501,0.76,36,31,22,19,0.03,0.76,0.0076,0.03,0.0003,2.75
2025-10-21,65337,23343,500,0.77,56,51,47,44,0.07,0.77,0.0077,0.07,0.0007000000000000001,2.8
2025-10-22,6786,5920,500,7.37,30,28,26,25,0.37,7.37,0.0737,0.37,0.0037,1.15
2025-10-23,75503,23010,608,0.81,27,27,22,17,0.02,0.81,0.008100000000000001,0.02,0.0002,3.28
2025-10-24,75143,23402,609,0.81,19,17,17,17,0.02,0.81,0.008100000000000001,0.02,0.0002,3.21
2025-10-25,74314,20852,608,0.82,12,11,11,11,0.01,0.82,0.008199999999999999,0.01,0.0001,3.56
2025-10-26,72247,22378,609,0.84,10,10,9,9,0.01,0.84,0.0084,0.01,0.0001,3.23
2025-10-27,74810,23238,608,0.81,10,10,9,9,0.01,0.81,0.008100000000000001,0.01,0.0001,3.22
2025-10-28,75050,23375,608,0.81,13,13,13,13,0.02,0.81,0.008100000000000001,0.02,0.0002,3.21
2025-10-29,74278,22219,609,0.82,7,7,6,6,0.01,0.82,0.008199999999999999,0.01,0.0001,3.34
2025-10-30,77425,21596,559,0.72,0,0,0,0,0.0,0.72,0.0072,0.0,0.0,3.59
2025-10-31,81851,18864,516,0.63,0,0,0,0,0.0,0.63,0.0063,0.0,0.0,4.34
,1800560,497041,15028,0.83,398,368,328,310,0.02,0.83,0.0083,0.02,0.0002,3.62
