date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-27,23830,2378,266,1.12,11707,9933,9697,9559,40.11,1.12,0.011200000000000002,40.11,0.4011,10.02
2025-11-28,40617,2188,335,0.82,19769,17040,16693,16493,40.61,0.82,0.008199999999999999,40.61,0.4061,18.56
2025-11-29,26106,1874,324,1.24,13118,12589,12420,12283,47.05,1.24,0.0124,47.05,0.4705,13.93
2025-11-30,70663,18465,556,0.79,34248,32669,31759,31026,43.91,0.79,0.0079,43.91,0.4391,3.83
,161216,24748,1481,0.92,78842,72231,70569,69361,43.02,0.92,0.0092,43.02,0.4302,6.51
