date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,53051,17856,502,0.95,26624,24780,23384,24964,47.06,0.95,0.0095,47.06,0.4706,2.97
2025-11-02,46883,16641,518,1.1,23654,22826,22406,22004,46.93,1.1,0.011000000000000001,46.93,0.4693,2.82
2025-11-03,52650,19318,505,0.96,26590,25718,25316,24912,47.32,0.96,0.0096,47.32,0.4732,2.73
2025-11-04,51563,18480,497,0.96,25947,25060,24608,24232,46.99,0.96,0.0096,46.99,0.46990000000000004,2.79
2025-11-05,47530,13859,495,1.04,23944,23054,22667,22286,46.89,1.04,0.0104,46.89,0.4689,3.43
2025-11-06,49135,12371,551,1.12,24819,24107,23747,23380,47.58,1.12,0.011200000000000002,47.58,0.4758,3.97
2025-11-07,48295,14979,483,1.0,24356,23672,23221,22807,47.22,1.0,0.01,47.22,0.4722,3.22
2025-11-08,50438,17028,520,1.03,25410,24327,23850,23507,46.61,1.03,0.0103,46.61,0.4661,2.96
2025-11-09,70140,25270,612,0.87,35849,34083,32366,32231,45.95,0.87,0.0087,45.95,0.4595,2.78
2025-11-10,57203,20815,480,0.84,29107,27637,26976,26531,46.38,0.84,0.0084,46.38,0.46380000000000005,2.75
2025-11-11,60037,23791,488,0.81,30481,29105,28420,28069,46.75,0.81,0.008100000000000001,46.75,0.4675,2.52
2025-11-12,77992,33350,579,0.74,40436,38537,37371,35258,45.21,0.74,0.0074,45.21,0.4521,2.34
2025-11-13,42782,16896,469,1.1,22027,20937,20426,20101,46.98,1.1,0.011000000000000001,46.98,0.4698,2.53
2025-11-14,30069,15539,443,1.47,15485,14871,14577,14342,47.7,1.47,0.0147,47.7,0.47700000000000004,1.94
2025-11-15,31270,16264,414,1.32,16209,15531,15232,14914,47.69,1.32,0.0132,47.69,0.4769,1.92
2025-11-16,32845,17046,397,1.21,16890,16230,15978,15723,47.87,1.21,0.0121,47.87,0.47869999999999996,1.93
2025-11-17,58172,25473,575,0.99,29603,27747,26362,26981,46.38,0.99,0.009899999999999999,46.38,0.46380000000000005,2.28
2025-11-18,39620,19209,489,1.23,20701,19126,18816,18541,46.8,1.23,0.0123,46.8,0.46799999999999997,2.06
2025-11-19,43104,19059,531,1.23,22384,21253,20621,20200,46.86,1.23,0.0123,46.86,0.4686,2.26
2025-11-20,48346,21805,556,1.15,24566,23434,22536,22442,46.42,1.15,0.0115,46.42,0.4642,2.22
2025-11-21,39325,19315,539,1.37,22673,21793,20862,20422,51.93,1.37,0.0137,51.93,0.5193,2.04
2025-11-22,34239,16800,506,1.48,17441,16627,16481,15899,46.44,1.48,0.0148,46.44,0.4644,2.04
2025-11-23,32457,16354,509,1.57,17271,16324,15753,15213,46.87,1.57,0.015700000000000002,46.87,0.46869999999999995,1.98
2025-11-24,23391,11484,452,1.93,12501,12019,11822,11342,48.49,1.93,0.019299999999999998,48.49,0.4849,2.04
2025-11-25,31467,15875,479,1.52,16908,15497,15126,14896,47.34,1.52,0.0152,47.34,0.47340000000000004,1.98
2025-11-26,32632,15455,484,1.48,17308,16538,15977,15586,47.76,1.48,0.0148,47.76,0.47759999999999997,2.11
2025-11-27,30432,15289,457,1.5,15956,15330,14986,14719,48.37,1.5,0.015,48.37,0.48369999999999996,1.99
2025-11-28,16769,8408,368,2.19,8973,8485,8211,7987,47.63,2.19,0.0219,47.63,0.4763,1.99
2025-11-29,27880,15215,379,1.36,14286,13709,13483,13242,47.5,1.36,0.013600000000000001,47.5,0.475,1.83
2025-11-30,28503,15869,375,1.32,14562,14041,13787,13584,47.66,1.32,0.0132,47.66,0.47659999999999997,1.8
,1288220,515766,14652,1.14,662961,632398,615368,606315,47.07,1.14,0.011399999999999999,47.07,0.4707,2.5
