date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,76005,15197,555,0.73,34276,29936,27035,24857,32.7,0.73,0.0073,32.7,0.327,5.0
2025-11-02,76008,21503,717,0.94,35173,32020,29953,28469,37.46,0.94,0.009399999999999999,37.46,0.3746,3.53
2025-11-03,76008,21782,725,0.95,35346,32190,30146,28537,37.54,0.95,0.0095,37.54,0.3754,3.49
2025-11-04,76005,19926,764,1.01,35765,33067,31369,29840,39.26,1.01,0.0101,39.26,0.3926,3.81
2025-11-05,76004,19111,751,0.99,35782,33030,31262,29618,38.97,0.99,0.009899999999999999,38.97,0.3897,3.98
2025-11-06,76013,20966,598,0.79,34447,30646,28263,26333,34.64,0.79,0.0079,34.64,0.3464,3.63
2025-11-07,76003,23636,366,0.48,31997,26197,22727,19942,26.24,0.48,0.0048,26.24,0.26239999999999997,3.22
2025-11-08,75999,25224,357,0.47,32272,26559,22865,20002,26.32,0.47,0.004699999999999999,26.32,0.2632,3.01
2025-11-09,76009,24289,358,0.47,32321,26572,22967,19910,26.19,0.47,0.004699999999999999,26.19,0.2619,3.13
2025-11-10,76067,16902,337,0.44,33100,28183,25049,21996,28.92,0.44,0.0044,28.92,0.2892,4.5
2025-11-11,76069,16505,333,0.44,32492,27159,23677,21029,27.64,0.44,0.0044,27.64,0.2764,4.61
2025-11-12,76061,15908,341,0.45,32360,26995,23683,21118,27.76,0.45,0.0045000000000000005,27.76,0.2776,4.78
2025-11-13,76086,17552,353,0.46,31695,25856,22299,19543,25.69,0.46,0.0046,25.69,0.2569,4.33
2025-11-14,76418,17973,423,0.55,32320,26602,22976,20216,26.45,0.55,0.0055000000000000005,26.45,0.2645,4.25
2025-11-15,76093,17871,540,0.71,32645,27229,23711,21157,27.8,0.71,0.0070999999999999995,27.8,0.278,4.26
2025-11-16,76613,17066,387,0.51,32452,26852,23427,20799,27.15,0.51,0.0051,27.15,0.27149999999999996,4.49
2025-11-17,70935,16282,402,0.57,30122,24729,21395,18867,26.6,0.57,0.005699999999999999,26.6,0.266,4.36
,1288396,311916,8307,0.64,564565,483822,432804,392233,30.44,0.64,0.0064,30.44,0.3044,4.13
