date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,77988,40826,557,0.71,14920,13732,12808,10861,13.93,0.71,0.0070999999999999995,13.93,0.1393,1.91
2025-11-02,80197,41889,595,0.74,14024,13126,12141,10095,12.59,0.74,0.0074,12.59,0.1259,1.91
2025-11-03,79284,40219,581,0.73,12678,12553,11667,9613,12.12,0.73,0.0073,12.12,0.12119999999999999,1.97
2025-11-04,78646,40983,578,0.73,14068,13158,12179,10222,13.0,0.73,0.0073,13.0,0.13,1.92
2025-11-05,79862,44353,597,0.75,15085,14141,13214,11246,14.08,0.75,0.0075,14.08,0.1408,1.8
2025-11-06,77469,46762,614,0.79,13264,12384,11476,9495,12.26,0.79,0.0079,12.26,0.1226,1.66
2025-11-07,74678,43801,578,0.77,11290,10654,10014,8570,11.48,0.77,0.0077,11.48,0.1148,1.7
2025-11-08,75436,41996,575,0.76,11264,10699,10125,8989,11.92,0.76,0.0076,11.92,0.1192,1.8
2025-11-09,78104,45217,552,0.71,14300,13595,12803,11492,14.71,0.71,0.0070999999999999995,14.71,0.1471,1.73
2025-11-10,77360,45769,567,0.73,13577,12832,11493,10933,14.13,0.73,0.0073,14.13,0.1413,1.69
2025-11-11,79523,49844,517,0.65,18540,17701,16910,15630,19.65,0.65,0.006500000000000001,19.65,0.19649999999999998,1.6
2025-11-12,80240,51847,531,0.66,19977,19108,18379,17136,21.36,0.66,0.0066,21.36,0.21359999999999998,1.55
2025-11-13,78465,51497,623,0.79,19440,20036,19505,18353,23.39,0.79,0.0079,23.39,0.2339,1.52
2025-11-14,76132,49298,571,0.75,19639,18677,18021,16893,22.19,0.75,0.0075,22.19,0.22190000000000001,1.54
2025-11-15,76054,48805,605,0.8,20105,18676,18700,17811,23.42,0.8,0.008,23.42,0.23420000000000002,1.56
2025-11-16,77172,50571,562,0.73,21020,20194,19517,18549,24.04,0.73,0.0073,24.04,0.2404,1.53
,1246610,707105,9203,0.74,253191,241266,228952,205888,16.52,0.74,0.0074,16.52,0.16519999999999999,1.76
