date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-10-01,3802,1229,44,1.16,60,58,56,53,1.39,1.16,0.0116,1.39,0.0139,3.09
2025-10-02,7695,2513,70,0.91,250,234,218,200,2.6,0.91,0.0091,2.6,0.026000000000000002,3.06
2025-10-03,8046,2935,52,0.65,253,238,222,186,2.31,0.65,0.006500000000000001,2.31,0.0231,2.74
2025-10-04,8844,3084,58,0.66,76,67,54,46,0.52,0.66,0.0066,0.52,0.0052,2.87
2025-10-05,9383,3363,77,0.82,66,62,56,51,0.54,0.82,0.008199999999999999,0.54,0.0054,2.79
2025-10-06,6899,2668,40,0.58,81,79,72,63,0.91,0.58,0.0058,0.91,0.0091,2.59
2025-10-07,2287,928,16,0.7,1149,924,741,616,26.93,0.7,0.006999999999999999,26.93,0.2693,2.46
2025-10-08,10000,4370,79,0.79,4460,3654,3093,2658,26.58,0.79,0.0079,26.58,0.2658,2.29
2025-10-09,10002,7187,213,2.13,5235,4685,4284,3936,39.35,2.13,0.0213,39.35,0.3935,1.39
2025-10-10,10501,7049,207,1.97,4431,3916,3527,3182,30.3,1.97,0.0197,30.3,0.303,1.49
2025-10-11,10502,6551,192,1.83,4165,3602,3143,2822,26.87,1.83,0.0183,26.87,0.2687,1.6
2025-10-12,10502,6825,190,1.81,4474,3963,3558,3231,30.77,1.81,0.0181,30.77,0.3077,1.54
2025-10-13,10500,6871,152,1.45,3862,3402,3068,2764,26.32,1.45,0.014499999999999999,26.32,0.2632,1.53
2025-10-14,10501,7081,190,1.81,3621,3179,2875,2617,24.92,1.81,0.0181,24.92,0.2492,1.48
2025-10-15,10501,7009,197,1.88,3864,3387,3042,2795,26.62,1.88,0.018799999999999997,26.62,0.2662,1.5
2025-10-16,10501,7006,188,1.79,4432,3914,3547,3232,30.78,1.79,0.0179,30.78,0.3078,1.5
2025-10-17,10503,7257,196,1.87,4698,4162,3746,3426,32.62,1.87,0.0187,32.62,0.3262,1.45
2025-10-18,10503,6832,200,1.9,4854,4237,3831,3451,32.86,1.9,0.019,32.86,0.3286,1.54
2025-10-19,10500,6564,213,2.03,4281,3702,3298,3021,28.77,2.03,0.0203,28.77,0.2877,1.6
2025-10-20,10501,6932,210,2.0,4596,4117,3720,3368,32.07,2.0,0.02,32.07,0.3207,1.51
2025-10-21,10502,7408,239,2.28,4813,4297,3885,3569,33.98,2.28,0.022799999999999997,33.98,0.3398,1.42
2025-10-22,10500,7400,210,2.0,4335,3790,3395,3087,29.4,2.0,0.02,29.4,0.294,1.42
2025-10-23,10500,7147,192,1.83,3620,3221,2901,2634,25.09,1.83,0.0183,25.09,0.2509,1.47
2025-10-24,10501,7337,202,1.92,4500,3955,3543,3243,30.88,1.92,0.0192,30.88,0.30879999999999996,1.43
2025-10-25,10500,6774,223,2.12,4362,3805,3397,3095,29.48,2.12,0.0212,29.48,0.2948,1.55
2025-10-26,10501,6876,179,1.7,4052,3551,3157,2846,27.1,1.7,0.017,27.1,0.271,1.53
2025-10-27,10501,7223,262,2.5,4338,3828,3456,3161,30.1,2.5,0.025,30.1,0.301,1.45
2025-10-28,10500,6873,184,1.75,4797,4212,3727,3381,32.2,1.75,0.0175,32.2,0.322,1.53
2025-10-29,11500,7928,260,2.26,5306,4686,4185,3847,33.45,2.26,0.0226,33.45,0.3345,1.45
2025-10-30,11501,8060,247,2.15,7027,6287,5683,5166,44.92,2.15,0.0215,44.92,0.44920000000000004,1.43
2025-10-31,10521,7558,230,2.19,6695,5956,5410,4933,46.89,2.19,0.0219,46.89,0.4689,1.39
,300000,154609,5212,1.74,112753,99170,88890,80680,26.89,1.74,0.0174,26.89,0.26890000000000003,1.94
