date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,25078,15796,264,1.05,366,347,300,242,0.96,1.05,0.0105,0.96,0.0096,1.59
2025-11-02,24449,8723,306,1.25,382,364,327,273,1.12,1.25,0.0125,1.12,0.011200000000000002,2.8
2025-11-03,24404,8588,297,1.22,345,327,271,226,0.93,1.22,0.012199999999999999,0.93,0.009300000000000001,2.84
2025-11-04,24396,8915,291,1.19,333,317,258,204,0.84,1.19,0.011899999999999999,0.84,0.0084,2.74
2025-11-05,24401,8876,305,1.25,350,334,271,208,0.85,1.25,0.0125,0.85,0.0085,2.75
2025-11-06,24403,9131,293,1.2,342,325,273,218,0.89,1.2,0.012,0.89,0.0089,2.67
2025-11-07,25394,9510,294,1.16,330,313,266,205,0.81,1.16,0.0116,0.81,0.008100000000000001,2.67
2025-11-08,25404,8719,295,1.16,360,344,285,226,0.89,1.16,0.0116,0.89,0.0089,2.91
2025-11-09,25368,8900,290,1.14,312,304,252,186,0.73,1.14,0.011399999999999999,0.73,0.0073,2.85
2025-11-10,26295,6560,364,1.38,4458,4361,4199,4062,15.45,1.38,0.0138,15.45,0.1545,4.01
2025-11-11,26206,1764,478,1.82,9035,8865,8615,8395,32.03,1.82,0.0182,32.03,0.32030000000000003,14.86
2025-11-12,26218,1735,485,1.85,9112,8940,8741,8520,32.5,1.85,0.018500000000000003,32.5,0.325,15.11
2025-11-13,25011,6175,450,1.8,8622,8210,8057,7825,31.29,1.8,0.018000000000000002,31.29,0.3129,4.05
2025-11-14,25045,5922,464,1.85,8639,8241,7969,7786,31.09,1.85,0.018500000000000003,31.09,0.3109,4.23
2025-11-15,25052,6009,463,1.85,8628,8351,8145,7870,31.41,1.85,0.018500000000000003,31.41,0.3141,4.17
2025-11-16,25323,6114,449,1.77,8688,8318,8059,7838,30.95,1.77,0.0177,30.95,0.3095,4.14
2025-11-17,26128,5716,386,1.48,8942,8642,8406,8205,31.4,1.48,0.0148,31.4,0.314,4.57
2025-11-18,27324,4661,571,2.09,9505,9183,8875,8639,31.62,2.09,0.0209,31.62,0.31620000000000004,5.86
2025-11-19,25091,5994,388,1.55,8643,8304,8093,7860,31.33,1.55,0.0155,31.33,0.31329999999999997,4.19
2025-11-20,25050,6195,395,1.58,8465,8198,7980,7772,31.03,1.58,0.0158,31.03,0.3103,4.04
2025-11-21,25007,6737,418,1.67,9758,9527,9271,8976,35.89,1.67,0.0167,35.89,0.3589,3.71
2025-11-22,25030,6034,415,1.66,8414,8205,7919,7679,30.68,1.66,0.0166,30.68,0.3068,4.15
2025-11-23,22034,5411,404,1.83,7382,7178,6922,6686,30.34,1.83,0.0183,30.34,0.3034,4.07
2025-11-24,27103,5401,438,1.62,9134,8860,8602,8261,30.48,1.62,0.016200000000000003,30.48,0.3048,5.02
2025-11-25,25018,5086,429,1.71,8649,8251,7990,7796,31.16,1.71,0.0171,31.16,0.3116,4.92
2025-11-26,25002,5288,445,1.78,8623,8276,8018,7801,31.2,1.78,0.0178,31.2,0.312,4.73
2025-11-27,25016,5009,459,1.83,8818,8474,8253,8017,32.05,1.83,0.0183,32.05,0.32049999999999995,4.99
2025-11-28,25047,2743,411,1.64,8774,8526,8245,7998,31.93,1.64,0.016399999999999998,31.93,0.3193,9.13
2025-11-29,25051,5910,409,1.63,8686,8344,8095,7856,31.36,1.63,0.0163,31.36,0.3136,4.24
2025-11-30,19715,4604,391,1.98,6890,6650,6443,6251,31.71,1.98,0.019799999999999998,31.71,0.3171,4.28
,750063,191555,11747,1.57,180985,174879,169400,164081,21.88,1.57,0.015700000000000002,21.88,0.2188,3.92
