date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,42004,15279,602,1.43,3790,3611,3521,3464,8.25,1.43,0.0143,8.25,0.0825,2.75
2025-12-02,42015,14672,548,1.3,536,483,439,396,0.94,1.3,0.013000000000000001,0.94,0.009399999999999999,2.86
2025-12-03,42024,14785,312,0.74,849,816,794,783,1.86,0.74,0.0074,1.86,0.018600000000000002,2.84
2025-12-04,42103,18100,421,1.0,8318,8068,7906,7778,18.47,1.0,0.01,18.47,0.18469999999999998,2.33
2025-12-05,42008,17576,419,1.0,7903,7606,7446,7317,17.42,1.0,0.01,17.42,0.17420000000000002,2.39
2025-12-06,42038,13115,320,0.76,8486,7985,7573,7259,17.27,0.76,0.0076,17.27,0.1727,3.21
2025-12-07,42017,13458,572,1.36,8029,7549,7171,6856,16.32,1.36,0.013600000000000001,16.32,0.1632,3.12
2025-12-08,42011,13327,520,1.24,7140,6735,6381,6085,14.48,1.24,0.0124,14.48,0.1448,3.15
2025-12-09,42010,13742,398,0.95,8142,7544,7064,6690,15.92,0.95,0.0095,15.92,0.1592,3.06
2025-12-10,42011,15314,513,1.22,7573,7042,6641,6293,14.98,1.22,0.012199999999999999,14.98,0.14980000000000002,2.74
2025-12-11,42059,14646,649,1.54,7418,6787,6340,5971,14.2,1.54,0.0154,14.2,0.142,2.87
2025-12-12,43207,15439,882,2.04,8598,7977,7487,7069,16.36,2.04,0.0204,16.36,0.1636,2.8
2025-12-13,929,496,278,29.92,804,765,723,688,74.06,29.92,0.2992,74.06,0.7406,1.87
,506436,157197,6434,1.27,77586,72968,69486,66649,13.16,1.27,0.0127,13.16,0.1316,3.22
