date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,55851,29579,711,1.27,23165,21540,19179,17651,31.6,1.27,0.0127,31.6,0.316,1.89
2025-12-02,53191,28462,688,1.29,24302,22653,20179,18486,34.75,1.29,0.0129,34.75,0.3475,1.87
2025-12-03,38890,18890,794,2.04,17473,16236,14417,13117,33.73,2.04,0.0204,33.73,0.3373,2.06
2025-12-04,66088,54867,259,0.39,37110,35438,34377,33487,50.67,0.39,0.0039000000000000003,50.67,0.5067,1.2
2025-12-05,39916,24921,266,0.67,27054,25916,25526,25271,63.31,0.67,0.0067,63.31,0.6331,1.6
2025-12-06,39980,11483,557,1.39,28848,27177,26808,26787,67.0,1.39,0.0139,67.0,0.67,3.48
2025-12-07,39943,10589,282,0.71,29181,27868,26940,26907,67.36,0.71,0.0070999999999999995,67.36,0.6736,3.77
2025-12-08,32757,16378,235,0.72,20819,19360,18677,18276,55.79,0.72,0.0072,55.79,0.5579,2.0
2025-12-09,48212,41380,215,0.45,31742,28517,26531,23528,48.8,0.45,0.0045000000000000005,48.8,0.488,1.17
2025-12-10,40085,29407,449,1.12,24967,22952,21686,19952,49.77,1.12,0.011200000000000002,49.77,0.49770000000000003,1.36
2025-12-11,60263,40830,1014,1.68,31642,30314,29214,28703,47.63,1.68,0.0168,47.63,0.4763,1.48
2025-12-12,60463,43737,1007,1.67,31080,29700,28608,28067,46.42,1.67,0.0167,46.42,0.4642,1.38
2025-12-13,60446,43262,1019,1.69,31749,30339,29295,28708,47.49,1.69,0.0169,47.49,0.47490000000000004,1.4
,636085,381267,7496,1.18,359132,338010,321437,308940,48.57,1.18,0.0118,48.57,0.4857,1.67
