date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,9951,3866,344,3.46,5440,5326,5191,5054,50.79,3.46,0.0346,50.79,0.5079,2.57
2025-12-02,9626,3610,342,3.55,5431,5258,5082,4862,50.51,3.55,0.0355,50.51,0.5051,2.67
2025-12-03,7612,3067,296,3.89,4283,4146,4010,3783,49.7,3.89,0.038900000000000004,49.7,0.49700000000000005,2.48
2025-12-04,7036,3004,288,4.09,3965,3843,3741,3558,50.57,4.09,0.0409,50.57,0.5057,2.34
2025-12-05,6683,2531,285,4.26,3763,3687,3582,3459,51.76,4.26,0.0426,51.76,0.5176,2.64
2025-12-06,6555,2223,272,4.15,4072,3921,3754,3542,54.04,4.15,0.0415,54.04,0.5404,2.95
2025-12-07,6047,2024,268,4.43,3663,3507,3333,3150,52.09,4.43,0.0443,52.09,0.5209,2.99
2025-12-08,5785,1685,265,4.58,3452,3323,3181,3027,52.32,4.58,0.0458,52.32,0.5232,3.43
2025-12-09,5900,2005,257,4.36,3557,3365,3185,2995,50.76,4.36,0.0436,50.76,0.5075999999999999,2.94
2025-12-10,5553,1813,253,4.56,3287,3105,2939,2735,49.25,4.56,0.045599999999999995,49.25,0.4925,3.06
2025-12-11,5511,1807,255,4.63,3232,3054,2888,2731,49.56,4.63,0.0463,49.56,0.49560000000000004,3.05
2025-12-12,4947,1831,259,5.24,3234,3045,2867,2679,54.15,5.24,0.0524,54.15,0.5415,2.7
2025-12-13,6589,1965,257,3.9,4185,3955,3714,3482,52.85,3.9,0.039,52.85,0.5285,3.35
,87795,30842,3641,4.15,51564,49535,47467,45057,51.32,4.15,0.0415,51.32,0.5132,2.85
