date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,55437,23904,364,0.66,52161,51612,51095,50691,91.44,0.66,0.0066,91.44,0.9144,2.32
2025-12-02,80376,44014,296,0.37,72879,71804,70876,70110,87.23,0.37,0.0037,87.23,0.8723000000000001,1.83
2025-12-03,80030,48367,445,0.56,74252,73071,72245,71683,89.57,0.56,0.005600000000000001,89.57,0.8956999999999999,1.65
2025-12-04,80189,46072,519,0.65,74133,72687,71918,71404,89.04,0.65,0.006500000000000001,89.04,0.8904000000000001,1.74
2025-12-05,80006,44347,505,0.63,73573,71970,71269,70732,88.41,0.63,0.0063,88.41,0.8841,1.8
2025-12-06,80080,37722,566,0.71,73387,71814,71150,70613,88.18,0.71,0.0070999999999999995,88.18,0.8818,2.12
2025-12-07,80068,39271,493,0.62,73179,71670,71008,70545,88.11,0.62,0.0062,88.11,0.8811,2.04
2025-12-08,53750,29210,300,0.56,50146,49066,48711,48434,90.11,0.56,0.005600000000000001,90.11,0.9011,1.84
2025-12-09,80118,35762,472,0.59,73246,71086,70332,69794,87.11,0.59,0.0059,87.11,0.8711,2.24
2025-12-10,80055,40602,546,0.68,74981,72777,72103,71655,89.51,0.68,0.0068000000000000005,89.51,0.8951,1.97
2025-12-11,80030,27948,614,0.77,76240,74540,73761,73242,91.52,0.77,0.0077,91.52,0.9152,2.86
2025-12-12,40222,10084,356,0.89,38978,38468,38137,37918,94.27,0.89,0.0089,94.27,0.9427,3.99
2025-12-13,80058,15642,641,0.8,75742,74379,74086,73845,92.24,0.8,0.008,92.24,0.9224,5.12
,950419,408424,6117,0.64,882897,864944,856691,850666,89.5,0.64,0.0064,89.5,0.895,2.33
