date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-10-16,11718,3896,207,1.77,0,0,0,0,0.0,1.77,0.0177,0.0,0.0,3.01
2025-10-17,129291,55646,2009,1.55,33203,32696,32239,31928,24.69,1.55,0.0155,24.69,0.2469,2.32
2025-10-18,30252,16123,496,1.64,29664,29187,28813,28515,94.26,1.64,0.016399999999999998,94.26,0.9426000000000001,1.88
2025-10-19,186476,99541,2653,1.42,88027,87028,86050,85318,45.75,1.42,0.014199999999999999,45.75,0.4575,1.87
2025-10-20,154964,90932,2493,1.61,103600,101669,100125,99156,63.99,1.61,0.0161,63.99,0.6399,1.7
2025-10-21,161081,96178,2494,1.55,109583,107346,105479,104349,64.78,1.55,0.0155,64.78,0.6478,1.67
2025-10-22,156960,98504,2491,1.59,105447,103577,102108,101057,64.38,1.59,0.0159,64.38,0.6437999999999999,1.59
2025-10-23,167870,101934,2687,1.6,116182,114049,112276,111127,66.2,1.6,0.016,66.2,0.662,1.65
2025-10-24,145924,90650,2494,1.71,94619,94281,92828,91977,63.03,1.71,0.0171,63.03,0.6303,1.61
2025-10-25,143469,87371,2482,1.73,89169,97138,96218,95253,66.39,1.73,0.0173,66.39,0.6639,1.64
2025-10-26,158570,97248,2479,1.56,105824,103877,102128,100294,63.25,1.56,0.015600000000000001,63.25,0.6325,1.63
2025-10-27,150885,90096,2492,1.65,99776,97487,95695,94586,62.69,1.65,0.0165,62.69,0.6269,1.67
2025-10-28,132322,73551,2638,1.99,81001,78638,76635,75564,57.11,1.99,0.0199,57.11,0.5710999999999999,1.8
2025-10-29,124206,78156,2352,1.89,75698,73870,72131,68496,55.15,1.89,0.0189,55.15,0.5515,1.59
2025-10-30,134954,83830,2430,1.8,88380,85007,80594,81950,60.72,1.8,0.018000000000000002,60.72,0.6072,1.61
2025-10-31,102653,66538,2116,2.06,62613,60913,59431,58565,57.05,2.06,0.0206,57.05,0.5705,1.54
,2091595,1145876,35013,1.67,1282786,1266763,1242750,1228135,58.72,1.67,0.0167,58.72,0.5871999999999999,1.83
