date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-25,65191,21242,765,1.17,60515,56590,55483,54519,83.63,1.17,0.011699999999999999,83.63,0.8362999999999999,3.07
2025-11-26,65022,29052,727,1.12,62082,55834,55019,54226,83.4,1.12,0.011200000000000002,83.4,0.8340000000000001,2.24
2025-11-27,65419,18023,786,1.2,58540,55216,54172,53338,81.53,1.2,0.012,81.53,0.8153,3.63
2025-11-28,65262,20554,824,1.26,63286,58358,57501,56875,87.15,1.26,0.0126,87.15,0.8715,3.18
2025-11-29,65880,17076,718,1.09,62745,58883,57852,57113,86.69,1.09,0.0109,86.69,0.8669,3.86
2025-11-30,58347,17701,588,1.01,55504,51376,50339,49570,84.96,1.01,0.0101,84.96,0.8495999999999999,3.3
,385121,120500,4408,1.14,362672,336257,330366,325641,84.56,1.14,0.011399999999999999,84.56,0.8456,3.2
