date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-15,42359,25768,334,0.79,19762,18727,18152,18253,43.09,0.79,0.0079,43.09,0.43090000000000006,1.64
2025-11-16,45871,24772,384,0.84,21715,20846,20397,20112,43.84,0.84,0.0084,43.84,0.4384,1.85
2025-11-17,38895,20204,319,0.82,18390,17607,17310,17077,43.91,0.82,0.008199999999999999,43.91,0.4391,1.93
2025-11-18,44910,25827,345,0.77,20770,20221,19593,19320,43.02,0.77,0.0077,43.02,0.4302,1.74
2025-11-19,27685,13793,479,1.73,13320,12726,12438,12188,44.02,1.73,0.0173,44.02,0.44020000000000004,2.01
2025-11-20,40345,14632,438,1.09,18426,17514,17146,16766,41.56,1.09,0.0109,41.56,0.4156,2.76
2025-11-21,39540,17953,609,1.54,18260,17891,17190,16943,42.85,1.54,0.0154,42.85,0.4285,2.2
2025-11-22,40193,18362,699,1.74,18434,17834,17224,16838,41.89,1.74,0.0174,41.89,0.4189,2.19
2025-11-23,39274,18171,678,1.73,17804,17329,16982,16665,42.43,1.73,0.0173,42.43,0.4243,2.16
2025-11-24,39227,17767,641,1.63,17660,17494,17008,16548,42.19,1.63,0.0163,42.19,0.4219,2.21
2025-11-25,39340,17670,770,1.96,19050,18326,17927,17713,45.03,1.96,0.0196,45.03,0.45030000000000003,2.23
2025-11-26,39252,18044,764,1.95,19131,18301,17988,17677,45.03,1.95,0.0195,45.03,0.45030000000000003,2.18
2025-11-27,38984,17400,733,1.88,18915,18130,17789,17490,44.86,1.88,0.018799999999999997,44.86,0.4486,2.24
2025-11-28,38670,16239,481,1.24,18149,17438,16990,16730,43.26,1.24,0.0124,43.26,0.4326,2.38
2025-11-29,38608,17854,604,1.56,18609,17822,17448,17131,44.37,1.56,0.015600000000000001,44.37,0.4437,2.16
2025-11-30,34046,15378,380,1.12,16075,15399,15144,14832,43.56,1.12,0.011200000000000002,43.56,0.43560000000000004,2.21
,627199,297671,8658,1.38,294470,283605,276726,272283,43.41,1.38,0.0138,43.41,0.4341,2.11
