date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-12-01,78016,17519,431,0.55,33382,27903,24354,21692,27.8,0.55,0.0055000000000000005,27.8,0.278,4.45
2025-12-02,78010,17904,456,0.58,33493,28300,25098,22696,29.09,0.58,0.0058,29.09,0.2909,4.36
2025-12-03,64703,13167,420,0.65,28096,24042,21525,19518,30.17,0.65,0.006500000000000001,30.17,0.3017,4.91
2025-12-04,78017,15786,454,0.58,34906,30550,27622,25503,32.69,0.58,0.0058,32.69,0.32689999999999997,4.94
2025-12-05,77722,14624,426,0.55,33725,28356,24915,22341,28.74,0.55,0.0055000000000000005,28.74,0.2874,5.31
2025-12-06,78056,14377,401,0.51,34597,29823,26733,24323,31.16,0.51,0.0051,31.16,0.3116,5.43
2025-12-07,78052,15159,389,0.5,34029,28716,25428,22800,29.21,0.5,0.005,29.21,0.2921,5.15
2025-12-08,6464,4626,330,5.11,4192,3893,3673,3434,53.13,5.11,0.051100000000000007,53.13,0.5313,1.4
2025-12-09,65036,14577,409,0.63,28353,23691,20762,18428,28.34,0.63,0.0063,28.34,0.2834,4.46
2025-12-10,6723,4831,346,5.15,4165,3839,3573,3383,50.32,5.15,0.051500000000000004,50.32,0.5032,1.39
2025-12-11,33312,19237,408,1.22,14205,10815,8844,7434,22.32,1.22,0.012199999999999999,22.32,0.2232,1.73
2025-12-12,8804,2910,86,0.98,3952,3275,2867,2531,28.75,0.98,0.0098,28.75,0.2875,3.03
2025-12-13,86055,19707,101,0.12,36274,30272,26610,23765,27.62,0.12,0.0012,27.62,0.2762,4.37
,738970,168368,4657,0.63,323369,273475,242004,217848,29.48,0.63,0.0063,29.48,0.2948,4.39
