date,impressions,uniques,clicks,CTR,Просмотр 1/4,Просмотр 1/2,Просмотр 3/4,Досмотр,VTR,ctr_percent,ctr_ratio,vtr_percent,vtr_ratio,freq
2025-11-01,18007,10984,505,2.8,7619,6577,5949,5491,30.49,2.8,0.027999999999999997,30.49,0.3049,1.64
2025-11-02,8968,4448,420,4.68,3857,3507,3299,3128,34.88,4.68,0.046799999999999994,34.88,0.3488,2.02
2025-11-03,40981,10441,418,1.02,10481,9231,8434,7881,19.23,1.02,0.0102,19.23,0.1923,3.93
2025-11-04,19024,7283,420,2.21,5966,5367,4969,4646,24.42,2.21,0.022099999999999998,24.42,0.24420000000000003,2.61
2025-11-05,15299,5427,418,2.73,4810,4387,4115,3882,25.37,2.73,0.0273,25.37,0.25370000000000004,2.82
2025-11-06,28015,11240,446,1.59,8902,7952,7326,6881,24.56,1.59,0.0159,24.56,0.24559999999999998,2.49
2025-11-07,38003,16617,451,1.19,12037,10727,9934,9363,24.64,1.19,0.011899999999999999,24.64,0.2464,2.29
2025-11-08,39973,15200,398,1.0,12706,11830,11268,10888,27.24,1.0,0.01,27.24,0.2724,2.63
2025-11-09,40044,15251,403,1.01,12698,11825,11256,10853,27.1,1.01,0.0101,27.1,0.271,2.63
2025-11-10,28075,11354,456,1.62,8738,7965,7553,7187,25.6,1.62,0.016200000000000003,25.6,0.256,2.47
2025-11-11,25042,5692,433,1.73,7744,7335,7090,6882,27.48,1.73,0.0173,27.48,0.2748,4.4
2025-11-12,41825,4008,442,1.06,13274,12692,12298,11990,28.67,1.06,0.0106,28.67,0.2867,10.44
2025-11-13,39399,1781,430,1.09,12601,12492,12433,12330,31.3,1.09,0.0109,31.3,0.313,22.12
2025-11-14,32562,1920,570,1.75,10233,10156,10069,9998,30.7,1.75,0.0175,30.7,0.307,16.96
2025-11-15,32911,2179,457,1.39,10550,10363,10212,10091,30.66,1.39,0.0139,30.66,0.3066,15.1
2025-11-16,33405,2037,456,1.37,10808,10649,10542,10453,31.29,1.37,0.0137,31.29,0.3129,16.4
,481533,124158,7123,1.48,153024,143055,136747,131944,27.4,1.48,0.0148,27.4,0.27399999999999997,3.88
